date,movies,songs
20060113,"[""Zinda, https://en.wikipedia.org/wiki/Zinda_(film)"", ""Family, https://en.wikipedia.org/wiki/Family_(2006_film)""]","[""Ye hai meri Kahani, https://www.youtube.com/watch?v=qhHL-EOIqqQ"", ""Zinda Hoon Main, https://www.youtube.com/watch?v=Y1K2qCsuYbY"", ""Qatra Qatra, https://www.youtube.com/watch?v=673AhfDrP7I"", ""Pyyar Bina, https://www.youtube.com/watch?v=D21_hppNqqg"", ""Jeene Do, https://youtu.be/vGqHBhBdCeA""]"
20060114,"[""Zinda, https://en.wikipedia.org/wiki/Zinda_(film)"", ""Family, https://en.wikipedia.org/wiki/Family_(2006_film)""]","[""Ye hai meri Kahani, https://www.youtube.com/watch?v=qhHL-EOIqqQ"", ""Zinda Hoon Main, https://www.youtube.com/watch?v=Y1K2qCsuYbY"", ""Qatra Qatra, https://www.youtube.com/watch?v=673AhfDrP7I"", ""Pyyar Bina, https://www.youtube.com/watch?v=D21_hppNqqg"", ""Jeene Do, https://youtu.be/vGqHBhBdCeA""]"
20060115,"[""Zinda, https://en.wikipedia.org/wiki/Zinda_(film)"", ""Family, https://en.wikipedia.org/wiki/Family_(2006_film)""]","[""Ye hai meri Kahani, https://www.youtube.com/watch?v=qhHL-EOIqqQ"", ""Zinda Hoon Main, https://www.youtube.com/watch?v=Y1K2qCsuYbY"", ""Qatra Qatra, https://www.youtube.com/watch?v=673AhfDrP7I"", ""Pyyar Bina, https://www.youtube.com/watch?v=D21_hppNqqg"", ""Jeene Do, https://youtu.be/vGqHBhBdCeA""]"
20060116,"[""Jawani Diwani, https://en.wikipedia.org/wiki/Jawani_Diwani:_A_Youthful_Joyride"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060117,"[""Jawani Diwani, https://en.wikipedia.org/wiki/Jawani_Diwani:_A_Youthful_Joyride"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060118,"[""Jawani Diwani, https://en.wikipedia.org/wiki/Jawani_Diwani:_A_Youthful_Joyride"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060119,"[""Jawani Diwani, https://en.wikipedia.org/wiki/Jawani_Diwani:_A_Youthful_Joyride"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060120,"[""Jawani Diwani, https://en.wikipedia.org/wiki/Jawani_Diwani:_A_Youthful_Joyride"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060121,"[""Jawani Diwani, https://en.wikipedia.org/wiki/Jawani_Diwani:_A_Youthful_Joyride"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060122,"[""Jawani Diwani, https://en.wikipedia.org/wiki/Jawani_Diwani:_A_Youthful_Joyride"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060123,"[""Jawani Diwani, https://en.wikipedia.org/wiki/Jawani_Diwani:_A_Youthful_Joyride"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060124,"[""Jawani Diwani, https://en.wikipedia.org/wiki/Jawani_Diwani:_A_Youthful_Joyride"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060125,"[""Jawani Diwani, https://en.wikipedia.org/wiki/Jawani_Diwani:_A_Youthful_Joyride"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060126,"[""Jawani Diwani, https://en.wikipedia.org/wiki/Jawani_Diwani:_A_Youthful_Joyride"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060127,"[""Jawani Diwani, https://en.wikipedia.org/wiki/Jawani_Diwani:_A_Youthful_Joyride"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060128,"[""Jawani Diwani, https://en.wikipedia.org/wiki/Jawani_Diwani:_A_Youthful_Joyride"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060129,"[""Jawani Diwani, https://en.wikipedia.org/wiki/Jawani_Diwani:_A_Youthful_Joyride"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060130,"[""Jawani Diwani, https://en.wikipedia.org/wiki/Jawani_Diwani:_A_Youthful_Joyride"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060131,"[""Jawani Diwani, https://en.wikipedia.org/wiki/Jawani_Diwani:_A_Youthful_Joyride"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060201,"[""Mere Jeevan Saathi, https://en.wikipedia.org/wiki/Mere_Jeevan_Saathi_(2006_film)"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Tumko Dulhan Banayenge, https://www.youtube.com/watch?v=Gn5Lw8I4XIc"", ""Tasveer, https://www.youtube.com/watch?v=iiQWVZ9uXEY"", ""Deewani Main Deewani, https://www.youtube.com/watch?v=i5QP8zEABOs"", ""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
